Current,,,,,
,,,,,
基金名稱,年月,投資股數,投資比率％,持股數/流通在外股數%,個股月報酬率％
2470 品佳,2025/09,-,-,-,-
2471 資通,2025/09,-,-,-,-
2472 立隆電,2025/09,106,0,0.06,-1.47
2473 思源,2025/09,-,-,-,-
2474 可成,2025/09,"178,970",0.79,28.7,-3.18
2475 華映,2025/09,-,-,-,-
2476 鉅祥,2025/09,1,0,0,2.44
2477 美隆電,2025/09,-,-,-,-
2478 大毅,2025/09,4,0,0,21.11
2479 和立,2025/09,-,-,-,-
2480 敦陽科,2025/09,581,0,0.55,2.89
2481 強茂,2025/09,"17,214",0.03,4.51,9.94
2482 連宇,2025/09,-,-,-,-
2483 百容,2025/09,-,-,-,-
2484 希華,2025/09,-,-,-,-
2485 兆赫,2025/09,-,-,-,-
2486 一詮,2025/09,-,-,-,-
2487 友立資,2025/09,-,-,-,-
2488 漢平,2025/09,-,-,-,-
2489 瑞軒,2025/09,14,0,0,-2.91
2490 皇統,2025/09,-,-,-,-
2491 吉祥全,2025/09,-,-,-,-
2492 華新科,2025/09,563,0,0.12,26.82
2493 揚博,2025/09,286,0,0.23,-29.19
2494 廣業科,2025/09,-,-,-,-
2495 普安,2025/09,"1,120",0,0.41,3.48
2497 怡利電,2025/09,-,-,-,-
2498 宏達電,2025/09,403,0,0.05,-15.34
2499 東貝,2025/09,-,-,-,-
2501 國建,2025/09,1,0,0,10.9
2504 國產,2025/09,"175,632",0.15,14.88,-2.55
2505 國揚,2025/09,-,-,-,-
2506 太設,2025/09,-,-,-,-
2509 全坤建,2025/09,-,-,-,-
2511 太子,2025/09,-,-,-,-
2512 寶建,2025/09,-,-,-,-
2514 龍邦,2025/09,-,-,-,-
2515 中工,2025/09,992,0,0.06,-5.36
2516 新建,2025/09,-,-,-,-
2517 長谷,2025/09,-,-,-,-
2518 長億,2025/09,-,-,-,-
2520 冠德,2025/09,"51,782",0.05,8.5,2.13
2521 宏總,2025/09,-,-,-,-
2522 啟阜,2025/09,-,-,-,-
2523 德寶,2025/09,-,-,-,-
2524 京城,2025/09,0,0,0,10.48
2525 寶祥,2025/09,-,-,-,-
2525A 寶祥特,2025/09,-,-,-,-
2526 大陸,2025/09,-,-,-,-
2527 宏璟,2025/09,215,0,0.08,6.5
2528 皇普,2025/09,-,-,-,-
2529 仁翔,2025/09,-,-,-,-
2530 華建,2025/09,899,0,0.11,1.21
2533 昱成,2025/09,-,-,-,-
2534 宏盛,2025/09,-,-,-,-
2535 達欣工,2025/09,201,0,0.07,0.17
2536 宏普,2025/09,-,-,-,-
2537 聯上發,2025/09,-,-,-,-
2538 基泰,2025/09,-,-,-,-
2539 櫻花建,2025/09,"2,494",0,0.21,-0.92
2540 愛山林,2025/09,34,0,0,3.23
2542 興富發,2025/09,"34,023",0.03,1.57,5.78
2543 皇昌,2025/09,674,0,0.13,2.93
2544 益鼎光電,2025/09,-,-,-,-
2545 皇翔,2025/09,-,-,-,-
2546 根基,2025/09,-,-,-,-
2547 日勝生,2025/09,387,0,0.04,0
2548 華固,2025/09,1,0,0,-4.1
2597 潤弘,2025/09,702,0,0.23,0.98
2601 益航,2025/09,-,-,-,-
2602 國際海運,2025/09,-,-,-,-
2603 長榮,2025/09,"334,567",1.44,15.45,-3.5
2604 立榮,2025/09,-,-,-,-
2605 新興,2025/09,-,-,-,-
2606 裕民,2025/09,"105,990",0.15,12.54,1.42
2607 榮運,2025/09,"32,749",0.03,3.07,2.49
2608 嘉里大榮,2025/09,-,-,-,-
2609 陽明,2025/09,"379,415",0.49,10.86,-8.15
2610 華航,2025/09,"422,114",0.21,6.94,-1.65
2611 志信,2025/09,-,-,-,-
2612 中航,2025/09,-,-,-,-
2613 中櫃,2025/09,-,-,-,-
2614 東森,2025/09,-,-,-,-
2615 萬海,2025/09,"204,018",0.37,7.27,-10.27
2616 山隆,2025/09,-,-,-,-
2617 台航,2025/09,237,0,0.06,-1.26
2618 長榮航,2025/09,"992,269",0.91,18.37,-1.93
2628 正利,2025/09,-,-,-,-
2630 亞航,2025/09,-,-,-,-
2633 台灣高鐵,2025/09,"10,435",0.01,0.19,1.81
2634 漢翔,2025/09,"2,003",0,0.21,-9.78
2636 台驊控股,2025/09,-,-,-,-
2637 慧洋-KY,2025/09,"80,372",0.11,10.77,-3.14
2640 大車隊,2025/09,144,0,0.24,0.39
2642 宅配通,2025/09,-,-,-,-
2645 長榮航太,2025/09,"2,623",0.01,0.7,-12.43
2646 星宇航空,2025/09,321,0,0.01,-1.2
2701 萬企,2025/09,-,-,-,-
2702 華園,2025/09,-,-,-,-
2703 華國,2025/09,-,-,-,-
2704 國賓,2025/09,-,-,-,-
2705 六福,2025/09,-,-,-,-
2706 第一店,2025/09,-,-,-,-
2707 晶華,2025/09,592,0,0.46,3.65
2722 夏都,2025/09,-,-,-,-
2723 美食-KY,2025/09,66,0,0.04,-9.54
2726 雅茗-KY,2025/09,-,-,-,-
2727 王品,2025/09,534,0,0.63,4.78
2729 瓦城,2025/09,-,-,-,-
2731 雄獅,2025/09,85,0,0.09,-0.63
2732 六角,2025/09,-,-,-,-
2734 易飛網,2025/09,-,-,-,-
2739 寒舍,2025/09,-,-,-,-
2748 雲品,2025/09,-,-,-,-
2753 八方雲集,2025/09,-,-,-,-
2755 揚秦,2025/09,-,-,-,-
2801 彰銀,2025/09,"154,328",0.07,1.31,2.34
2801A 彰銀特,2025/09,-,-,-,-
2804A 開發特,2025/09,-,-,-,-
2807 渣打銀行,2025/09,-,-,-,-
2808 北商銀,2025/09,-,-,-,-
2809 京城銀,2025/09,3,0,0,2.35
2810 高企,2025/09,-,-,-,-
2811 東企,2025/09,-,-,-,-
2812 台中銀,2025/09,"23,460",0.01,0.4,6.57
2816 旺旺保,2025/09,-,-,-,-
2820 華票,2025/09,-,-,-,-
2822 農銀,2025/09,-,-,-,-
2823 凱基人壽,2025/09,-,-,-,-
2824 交銀,2025/09,-,-,-,-
2827 中聯,2025/09,-,-,-,-
2828 萬通,2025/09,-,-,-,-
2829 大安,2025/09,-,-,-,-
2831 中華銀行,2025/09,-,-,-,-
2832 台產,2025/09,131,0,0.04,13.12
2833 台壽,2025/09,-,-,-,-
2834 臺企銀,2025/09,"25,034",0.01,0.26,4.3
2835 國泰銀,2025/09,-,-,-,-
2836 高雄銀,2025/09,-,-,-,-
2837 凱基銀行,2025/09,-,-,-,-
2838 聯邦銀,2025/09,"2,552",0,0.06,8.13
2838A 聯邦銀甲特,2025/09,-,-,-,-
2841 台開,2025/09,-,-,-,-
2842 富邦銀,2025/09,-,-,-,-
2844A 新甲特,2025/09,-,-,-,-
2845 遠東銀,2025/09,"12,912",0,0.27,-0.77
2846 中興銀,2025/09,-,-,-,-
2847 大眾銀,2025/09,-,-,-,-
2847A 眾甲特,2025/09,-,-,-,-
2847B 眾乙特,2025/09,-,-,-,-
2848 華南保,2025/09,-,-,-,-
2849 安泰銀,2025/09,5,0,0,-0.38
2850 新產,2025/09,"9,620",0.03,3.04,11.57
2851 中再保,2025/09,-,-,-,-
2852 第一保,2025/09,829,0,0.28,1.9
2854 寶來證,2025/09,-,-,-,-
2855 統一證,2025/09,"1,883",0,0.12,11.99
2856 元富證,2025/09,-,-,-,-
2867 三商壽,2025/09,-,-,-,-
2880 華南金,2025/09,"831,747",0.59,5.98,6.09
2881 富邦金,2025/09,"1,071,745",2.28,7.65,7.88
2881A 富邦特,2025/09,158,0,0.03,0
2881B 富邦金乙特,2025/09,157,0,0.02,0.81
2882 國泰金,2025/09,"1,959,192",3.1,13.36,6.67
2882A 國泰特,2025/09,240,0,0.03,-0.16
2882B 國泰金乙特,2025/09,758,0,0.11,-0.17
2883 凱基金,2025/09,"1,114,724",0.4,6.57,-1.97
2883A 開發特,2025/09,-,-,-,-
2883B 凱基金乙特,2025/09,"2,707",0,0.17,-0.51
2884 玉山金,2025/09,"647,732",0.52,4,-0.3
2885 元大金,2025/09,"1,400,917",1.18,10.51,7.23
2886 兆豐金,2025/09,"1,006,265",1.03,6.78,6.12
2887 台新新光金,2025/09,"1,461,215",0.63,5.88,10.77
2887C 新丙特,2025/09,-,-,-,-
2887E 台新新光戊特一,2025/09,-,-,-,-
2887F 台新新光戊特二,2025/09,345,0,0.12,0.11
2888 新光金,2025/09,-,-,-,-
2888A 新光金甲特,2025/09,-,-,-,-
2888B 新光金乙特,2025/09,-,-,-,-
2889 國票金,2025/09,"8,079",0,0.22,-0.65
2890 永豐金,2025/09,"924,384",0.56,7.05,6.84
2891 中信金,2025/09,"3,547,688",3.67,18.05,4.25
2891A 中信特,2025/09,-,-,-,-
2891B 中信金乙特,2025/09,237,0,0.07,0.16
2891C 中信金丙特,2025/09,303,0,0.18,0.67
2892 第一金,2025/09,"818,181",0.59,5.69,5.29
2897 王道銀行,2025/09,"3,287",0,0.12,0.44
2901 欣欣,2025/09,-,-,-,-
2902 中信,2025/09,-,-,-,-
2903 遠百,2025/09,636,0,0.04,7.67
2904 匯僑,2025/09,-,-,-,-
2905 三商,2025/09,-,-,-,-
2906 高林,2025/09,-,-,-,-
2908 特力,2025/09,-,-,-,-
2910 統領,2025/09,-,-,-,-
2911 麗嬰房,2025/09,-,-,-,-
2912 統一超,2025/09,"56,393",0.34,5.42,-2.55
2913 農林,2025/09,-,-,-,-
2915 潤泰全,2025/09,"37,846",0.05,3.43,-3.14
2916 滿心,2025/09,-,-,-,-
2921 和樂,2025/09,-,-,-,-
2923 鼎固-KY,2025/09,-,-,-,-
2924 宏太-KY,2025/09,-,-,-,-
2926 誠品生活,2025/09,-,-,-,-
2929 淘帝-KY,2025/09,-,-,-,-
2939 永邑-KY,2025/09,-,-,-,-
3001 協和,2025/09,-,-,-,-
3002 歐格,2025/09,-,-,-,-
3003 健和興,2025/09,4,0,0,-0.19
3004 豐達科,2025/09,"1,440",0,2.57,0
3005 神基,2025/09,"87,492",0.33,14.09,1.63
3006 晶豪科,2025/09,18,0,0.01,27.85
3007 綠點,2025/09,-,-,-,-
3008 大立光,2025/09,"3,598",0.2,2.7,-2.29
3009 奇美電,2025/09,-,-,-,-
3010 華立,2025/09,"9,198",0.02,3.55,-4.31
3011 今皓,2025/09,-,-,-,-
3012 廣輝,2025/09,-,-,-,-
3013 晟銘電,2025/09,777,0,0.38,-9.58
3014 聯陽,2025/09,"7,765",0.03,4.68,-0.37
3015 全漢,2025/09,770,0,0.41,-4.93
3016 嘉晶,2025/09,3,0,0,57.71
3017 奇鋐,2025/09,"35,355",0.84,9.05,-2.87
3018 隆銘綠能,2025/09,-,-,-,-
3019 亞光,2025/09,"1,642",0.01,0.59,-3.94
3020 奇普仕,2025/09,-,-,-,-
3021 鴻名,2025/09,-,-,-,-
3022 威強電,2025/09,508,0,0.29,-5.68
3023 信邦,2025/09,"15,892",0.09,6.62,-1.29
3024 憶聲,2025/09,-,-,-,-
3025 星通,2025/09,-,-,-,-
3026 禾伸堂,2025/09,3,0,0,13.45
3027 盛達,2025/09,-,-,-,-
3028 增你強,2025/09,-,-,-,-
3029 零壹,2025/09,654,0,0.39,0
3030 德律,2025/09,"14,174",0.06,6,-16.98
3031 佰鴻,2025/09,-,-,-,-
3032 偉訓,2025/09,603,0,0.53,-12.16
3033 威健,2025/09,"5,627",0,1.17,-0.18
3034 聯詠,2025/09,"172,607",1.78,28.37,-1.95
3035 智原,2025/09,"2,455",0.01,0.94,0.32
3036 文曄,2025/09,"161,977",0.55,14.43,14.23
3036A 文曄甲特,2025/09,945,0,0.7,0
3037 欣興,2025/09,"61,796",0.23,4.04,4.84
3038 全台,2025/09,"1,400",0,0.89,0.46
3039 宏傳,2025/09,-,-,-,-
3040 遠見,2025/09,-,-,-,-
3041 揚智,2025/09,-,-,-,-
3042 晶技,2025/09,"22,024",0.05,6.42,3.06
3043 科風,2025/09,-,-,-,-
3044 健鼎,2025/09,"90,436",0.66,17.21,-6.53
3045 台灣大,2025/09,"279,977",0.74,7.52,2.35
3046 建碁,2025/09,130,0,0.17,-6.44
3047 訊舟,2025/09,-,-,-,-
3048 益登,2025/09,2,0,0,5.23
3049 精金,2025/09,19,0,0,1.82
3050 鈺德,2025/09,-,-,-,-
3051 力特,2025/09,800,0,0.48,-4.5
3052 夆典,2025/09,-,-,-,-
3053 鼎營,2025/09,-,-,-,-
3054 立萬利,2025/09,-,-,-,-
3055 蔚華科,2025/09,-,-,-,-
3056 富華新,2025/09,185,0,0.04,-5
3057 喬鼎,2025/09,-,-,-,-
3058 立德,2025/09,-,-,-,-
3059 華晶科,2025/09,559,0,0.18,5.3
3060 銘異,2025/09,-,-,-,-
3061 璨圓,2025/09,-,-,-,-
3062 建漢,2025/09,-,-,-,-
3063 飛信,2025/09,-,-,-,-
3064 泰偉,2025/09,-,-,-,-
3066 李洲,2025/09,-,-,-,-
3067 全域,2025/09,-,-,-,-
3068 美磊,2025/09,-,-,-,-
3069 台金礦,2025/09,-,-,-,-
3071 協禧,2025/09,-,-,-,-
3072 台灣高技,2025/09,-,-,-,-
3073 天方能源,2025/09,-,-,-,-
3078 僑威,2025/09,"10,720",0.02,4.71,-10.53
3079 宏億國,2025/09,-,-,-,-
3080 威力盟,2025/09,-,-,-,-
3081 聯亞,2025/09,"10,173",0.11,11,-5.21
3083 網龍,2025/09,-,-,-,-
3085 新零售,2025/09,-,-,-,-
3086 華義,2025/09,-,-,-,-
3087 台灣美日,2025/09,-,-,-,-
3088 艾訊,2025/09,244,0,0.23,-7.93
3089 億杰,2025/09,-,-,-,-
3090 日電貿,2025/09,"10,488",0.02,4.84,7.56
3092 鴻碩,2025/09,-,-,-,-
3093 港建*,2025/09,-,-,-,-
3094 聯傑,2025/09,-,-,-,-
3095 及成,2025/09,-,-,-,-
3099 頂倫,2025/09,-,-,-,-
3105 穩懋,2025/09,364,0,0.09,0.22
3114 好德,2025/09,-,-,-,-
3118 進階,2025/09,-,-,-,-
3126 信億,2025/09,-,-,-,-
3128 昇銳,2025/09,-,-,-,-
3130 一零四,2025/09,11,0,0.03,0.89
3131 弘塑,2025/09,"1,582",0.06,5.41,2.97
3138 耀登,2025/09,-,-,-,-
3141 晶宏,2025/09,-,-,-,-
3142 遠茂,2025/09,-,-,-,-
3144 新揚科,2025/09,-,-,-,-
3147 大綜,2025/09,-,-,-,-
3149 正達,2025/09,-,-,-,-
3152 璟德,2025/09,-,-,-,-
3162 精確,2025/09,-,-,-,-
3163 波若威,2025/09,553,0,0.69,-9.27
3164 景岳,2025/09,-,-,-,-
3167 大量,2025/09,"2,171",0.01,2.46,-16.2
3169 亞信,2025/09,279,0,0.44,-1.35
3176 基亞,2025/09,-,-,-,-
3188 鑫龍騰,2025/09,-,-,-,-
3189 景碩,2025/09,"5,874",0.02,1.29,-5.29
3191 雲嘉南,2025/09,-,-,-,-
3202 樺晟,2025/09,-,-,-,-
3205 佰研,2025/09,-,-,-,-
3207 耀勝,2025/09,-,-,-,-
3209 全科,2025/09,"1,479",0,0.63,-2.64
3211 順達,2025/09,"38,255",0.34,24.84,2.47
3213 茂訊,2025/09,175,0,0.3,-2.98
3214 元砷,2025/09,-,-,-,-
3217 優群,2025/09,"1,980",0.01,2.2,0.87
3218 大學光,2025/09,8,0,0.01,-12.4
3221 台嘉碩,2025/09,-,-,-,-
3224 三顧,2025/09,-,-,-,-
3226 龍鋒,2025/09,-,-,-,-
3227 原相,2025/09,"16,042",0.09,10.7,22.78
3228 金麗科,2025/09,8,0,0.01,6.12
3229 晟鈦,2025/09,-,-,-,-
3230 錦明,2025/09,-,-,-,-
3231 緯創,2025/09,"362,511",1.23,11.4,24.34
3232 昱捷,2025/09,-,-,-,-
3234 光環,2025/09,-,-,-,-
3252 海灣,2025/09,-,-,-,-
3257 虹冠電,2025/09,-,-,-,-
3259 鑫創,2025/09,-,-,-,-
3260 威剛,2025/09,"27,275",0.1,8.37,53.17
3264 欣銓,2025/09,"59,691",0.12,12.18,14.4
3265 台星科,2025/09,373,0,0.27,-6.15
3266 昇陽,2025/09,-,-,-,-
3271 其樂達,2025/09,-,-,-,-
3272 東碩,2025/09,-,-,-,-
3276 宇環,2025/09,-,-,-,-
3284 太普高,2025/09,-,-,-,-
3285 微端,2025/09,-,-,-,-
3287 廣寰科,2025/09,-,-,-,-
3288 點晶,2025/09,-,-,-,-
3289 宜特,2025/09,46,0,0.06,-9.09
3290 東浦,2025/09,-,-,-,-
3291 遠翔科,2025/09,-,-,-,-
3293 鈊象,2025/09,"5,246",0.1,1.86,2.88
3294 英濟,2025/09,-,-,-,-
3296 勝德,2025/09,-,-,-,-
3297 杭特,2025/09,-,-,-,-
3298 圓創,2025/09,-,-,-,-
3299 帛漢,2025/09,-,-,-,-
3303 岱稜,2025/09,-,-,-,-
3305 昇貿,2025/09,-,-,-,-
3306 鼎天,2025/09,-,-,-,-
3308 聯德,2025/09,-,-,-,-
3311 閎暉,2025/09,-,-,-,-
3312 弘憶股,2025/09,-,-,-,-
3313 斐成,2025/09,-,-,-,-
3315 宣昶,2025/09,-,-,-,-
3317 尼克森,2025/09,-,-,-,-
3321 同泰,2025/09,-,-,-,-
3323 加百裕,2025/09,-,-,-,-
3324 雙鴻,2025/09,"1,752",0.04,1.89,22.63
3325 旭品,2025/09,-,-,-,-
3332 幸康,2025/09,-,-,-,-
3338 泰碩,2025/09,69,0,0.08,-10.15
3339 泰谷,2025/09,-,-,-,-
3346 麗清,2025/09,-,-,-,-
3354 律勝,2025/09,-,-,-,-
3356 奇偶,2025/09,-,-,-,-
3357 臺慶科,2025/09,393,0,0.38,4.84
3360 尚立,2025/09,-,-,-,-
3362 先進光,2025/09,13,0,0.01,-14.57
3363 上詮,2025/09,"1,482",0.01,1.43,-6.46
3367 英華達,2025/09,-,-,-,-
3369 鐵研,2025/09,-,-,-,-
3372 典範,2025/09,-,-,-,-
3373 熱映,2025/09,-,-,-,-
3374 精材,2025/09,839,0,0.31,4.74
3376 新日興,2025/09,"7,107",0.04,3.63,-1.52
3379 彬台,2025/09,-,-,-,-
3380 明泰,2025/09,982,0,0.18,1.04
3383 新世紀,2025/09,-,-,-,-
3388 崇越電,2025/09,-,-,-,-
3389 志遠,2025/09,-,-,-,-
3390 旭軟,2025/09,-,-,-,-
3402 漢科,2025/09,188,0,0.26,-5.32
3406 玉晶光,2025/09,"5,193",0.05,4.61,-5.93
3413 京鼎,2025/09,"4,368",0.03,3.98,3.97
3416 融程電,2025/09,62,0,0.08,-7.27
3419 譁裕,2025/09,-,-,-,-
3426 台興,2025/09,-,-,-,-
3428 光燿科,2025/09,-,-,-,-
3431 長天,2025/09,-,-,-,-
3437 榮創,2025/09,-,-,-,-
3438 類比科,2025/09,-,-,-,-
3441 聯一光,2025/09,-,-,-,-
3443 創意,2025/09,"4,594",0.15,3.43,0.75
3450 聯鈞,2025/09,"7,792",0.05,5.35,33.99
3452 益通,2025/09,-,-,-,-
3454 晶睿,2025/09,3,0,0,-6.34
3455 由田,2025/09,-,-,-,-
3466 德晉,2025/09,-,-,-,-
3474 台灣美光,2025/09,-,-,-,-
3479 安勤,2025/09,807,0,1.11,-5.19
3481 群創,2025/09,"10,545",0,0.13,2.49
3483 力致,2025/09,518,0,0.52,-2
3484 崧騰,2025/09,-,-,-,-
3490 單井,2025/09,-,-,-,-
3491 昇達科,2025/09,"5,447",0.06,8.14,13.01
3492 長盛,2025/09,-,-,-,-
3494 誠研,2025/09,-,-,-,-
3498 陽程,2025/09,-,-,-,-
3499 環天科,2025/09,-,-,-,-
3501 維熹,2025/09,-,-,-,-
3504 揚明光,2025/09,1,0,0,0.67
3508 位速,2025/09,-,-,-,-
3511 矽瑪,2025/09,-,-,-,-
3512 皇龍,2025/09,-,-,-,-
3514 昱晶,2025/09,-,-,-,-
3515 華擎,2025/09,"1,394",0.01,1.13,0.36
3516 亞帝歐,2025/09,-,-,-,-
3518 柏騰,2025/09,-,-,-,-
3519 綠能,2025/09,-,-,-,-
3520 華盈,2025/09,-,-,-,-
3521 鴻翊,2025/09,-,-,-,-
3522 御嵿,2025/09,-,-,-,-
3523 迎輝,2025/09,-,-,-,-
3526 凡甲,2025/09,760,0,1.16,0.2
3527 聚積,2025/09,-,-,-,-
3528 安馳,2025/09,-,-,-,-
3529 力旺,2025/09,"4,980",0.24,6.67,-2.42
3530 晶相光,2025/09,-,-,-,-
3531 先益,2025/09,-,-,-,-
3532 台勝科,2025/09,"2,267",0.01,0.58,20.83
3533 嘉澤,2025/09,"4,704",0.18,4.18,6.19
3534 雷凌,2025/09,-,-,-,-
3535 晶彩科,2025/09,-,-,-,-
3536 誠創,2025/09,-,-,-,-
3540 曜越,2025/09,-,-,-,-
3541 西柏,2025/09,-,-,-,-
3545 敦泰,2025/09,484,0,0.22,-0.69
3546 宇峻,2025/09,195,0,0.33,1.35
3548 兆利,2025/09,-,-,-,-
3550 聯穎,2025/09,-,-,-,-
3551 世禾,2025/09,290,0,0.47,-8.77
3552 同致,2025/09,-,-,-,-
3553 力積,2025/09,-,-,-,-
3555 博士旺,2025/09,-,-,-,-
3556 禾瑞亞,2025/09,-,-,-,-
3557 嘉威,2025/09,-,-,-,-
3558 神準,2025/09,157,0,0.27,-6.73
3559 全智科,2025/09,-,-,-,-
3561 昇陽光電,2025/09,-,-,-,-
3562 頂晶科,2025/09,-,-,-,-
3563 牧德,2025/09,490,0.01,0.84,-17.87
3564 其陽,2025/09,-,-,-,-
3567 逸昌,2025/09,-,-,-,-
3570 大塚,2025/09,-,-,-,-
3573 穎台,2025/09,-,-,-,-
3576 聯合再生,2025/09,9,0,0,7.84
3577 泓格,2025/09,-,-,-,-
3579 尚志,2025/09,-,-,-,-
3580 友威科,2025/09,-,-,-,-
3581 博磊,2025/09,-,-,-,-
3582 凌耀,2025/09,-,-,-,-
3583 辛耘,2025/09,"2,474",0.02,3.08,1.28
3584 介面,2025/09,-,-,-,-
3587 閎康,2025/09,721,0,1.08,4.62
3588 通嘉,2025/09,-,-,-,-
3591 艾笛森,2025/09,-,-,-,-
3592 瑞鼎,2025/09,"12,017",0.08,15.84,-6.4
3593 力銘,2025/09,-,-,-,-
3594 磐儀,2025/09,-,-,-,-
3596 智易,2025/09,"1,048",0.01,0.48,-7.38
3598 奕力,2025/09,-,-,-,-
3605 宏致,2025/09,141,0,0.09,-4.53
3607 谷崧,2025/09,-,-,-,-
3609 三一東林,2025/09,-,-,-,-
3611 鼎翰,2025/09,-,-,-,-
3614 誠致,2025/09,-,-,-,-
3615 安可,2025/09,-,-,-,-
3617 碩天,2025/09,"4,208",0.02,4.47,-6.7
3622 洋華,2025/09,-,-,-,-
3623 富晶通,2025/09,-,-,-,-
3624 光頡,2025/09,-,-,-,-
3625 西勝,2025/09,-,-,-,-
3628 盈正,2025/09,-,-,-,-
3629 地心引力,2025/09,-,-,-,-
3630 新鉅科,2025/09,-,-,-,-
3631 晟楠,2025/09,-,-,-,-
3638 F-IML,2025/09,-,-,-,-
3645 達邁,2025/09,-,-,-,-
3646 艾恩特,2025/09,-,-,-,-
3653 健策,2025/09,"13,272",0.77,9.16,15.04
3658 漢微科,2025/09,-,-,-,-
3661 世芯-KY,2025/09,"5,963",0.5,7.36,-13.73
3662 齊民,2025/09,-,-,-,-
3664 安瑞-KY,2025/09,-,-,-,-
3665 貿聯-KY,2025/09,"32,059",0.8,16.44,-4.19
3666 光耀,2025/09,-,-,-,-
3669 圓展,2025/09,-,-,-,-
3673 TPK-KY,2025/09,-,-,-,-
3675 德微,2025/09,-,-,-,-
3679 新至陞,2025/09,21,0,0.03,-0.43
3680 家登,2025/09,365,0,0.38,7.32
3682 亞太電,2025/09,-,-,-,-
3686 達能,2025/09,-,-,-,-
3687 歐買尬,2025/09,-,-,-,-
3689 湧德,2025/09,-,-,-,-
3691 碩禾,2025/09,-,-,-,-
3693 營邦,2025/09,-,-,-,-
3694 海華,2025/09,"4,320",0.01,2.79,-21.59
3697 F-晨星,2025/09,-,-,-,-
3698 隆達,2025/09,-,-,-,-
3701 大眾控,2025/09,-,-,-,-
3702 大聯大,2025/09,"314,195",0.5,18.71,-1.34
3702A 大聯大甲特,2025/09,-,-,-,-
3703 欣陸,2025/09,1,0,0,-2.36
3704 合勤控,2025/09,2,0,0,0
3705 永信,2025/09,94,0,0.04,4.83
3706 神達,2025/09,"24,686",0.05,1.86,-9.68
3707 漢磊,2025/09,300,0,0.08,28.91
3708 上緯投控,2025/09,-,-,-,-
3711 日月光投控,2025/09,"333,454",1.32,7.52,8.61
3712 永崴投控,2025/09,"2,075",0,0.84,-2.77
3714 富采,2025/09,7,0,0,0.64
3715 定穎投控,2025/09,"3,595",0.01,1.29,-21.58
4102 永日,2025/09,-,-,-,-
4103 百略,2025/09,-,-,-,-
4104 佳醫,2025/09,-,-,-,-
4105 東洋,2025/09,247,0,0.1,1.95
4106 雃博,2025/09,-,-,-,-
4107 邦特,2025/09,-,-,-,-
4108 懷特,2025/09,-,-,-,-
4109 加捷生醫,2025/09,-,-,-,-
4110 博登,2025/09,-,-,-,-
4111 濟生,2025/09,-,-,-,-
4113 聯上,2025/09,-,-,-,-
4114 健喬,2025/09,-,-,-,-
4119 旭富,2025/09,-,-,-,-
4120 友華,2025/09,-,-,-,-
4121 優盛,2025/09,-,-,-,-
4123 晟德,2025/09,689,0,0.1,4.44
4126 太醫,2025/09,-,-,-,-
4127 天良,2025/09,-,-,-,-
4128 中天,2025/09,-,-,-,-
4129 聯合,2025/09,218,0,0.23,6.49
4130 健亞,2025/09,-,-,-,-
4131 浩泰,2025/09,-,-,-,-
4133 亞諾法,2025/09,-,-,-,-
4137 麗豐-KY,2025/09,-,-,-,-
4138 曜亞,2025/09,-,-,-,-
4141 龍燈-KY,2025/09,-,-,-,-
4142 國光生,2025/09,-,-,-,-
4144 康聯-KY,2025/09,-,-,-,-
4147 中裕,2025/09,505,0,0.18,-6.54
4148 全宇生技-KY,2025/09,-,-,-,-
4152 台微體,2025/09,-,-,-,-
4153 鈺緯,2025/09,-,-,-,-
4154 樂威科-KY,2025/09,-,-,-,-
4157 太景*-KY,2025/09,-,-,-,-
4162 智擎,2025/09,-,-,-,-
4163 鐿鈦,2025/09,-,-,-,-
4164 承業醫,2025/09,"1,030",0,0.53,-2.13
4167 松瑞藥,2025/09,-,-,-,-
4168 醣聯,2025/09,-,-,-,-
4171 瑞基,2025/09,-,-,-,-
4174 浩鼎,2025/09,-,-,-,-
4175 杏一,2025/09,-,-,-,-
4180 保盛藥業,2025/09,-,-,-,-
4190 佐登-KY,2025/09,-,-,-,-
4192 杏國,2025/09,-,-,-,-
4202 正義,2025/09,-,-,-,-
4207 環泰,2025/09,-,-,-,-
4303 信立,2025/09,-,-,-,-
4305 世坤,2025/09,-,-,-,-
4306 炎洲,2025/09,-,-,-,-
4401 東隆興,2025/09,-,-,-,-
4402 郡都開發,2025/09,-,-,-,-
4404 百成行,2025/09,-,-,-,-
4406 新昕纖,2025/09,-,-,-,-
4414 如興,2025/09,-,-,-,-
4416 三圓建設,2025/09,-,-,-,-
4417 金洲,2025/09,-,-,-,-
4420 光明,2025/09,-,-,-,-
4424 民興,2025/09,-,-,-,-
4426 利勤,2025/09,-,-,-,-
4430 耀億,2025/09,-,-,-,-
4432 銘旺實,2025/09,-,-,-,-
4438 廣越,2025/09,-,-,-,-
4441 振大環球,2025/09,39,0,0.06,38.88
4502 健信,2025/09,-,-,-,-
4503 金雨,2025/09,-,-,-,-
4506 崇友,2025/09,-,-,-,-
4510 高鋒,2025/09,-,-,-,-
4513 福裕,2025/09,-,-,-,-
4522 大寶,2025/09,-,-,-,-
4523 永彰,2025/09,-,-,-,-
4526 東台,2025/09,-,-,-,-
4527 方方土霖,2025/09,-,-,-,-
4528 江興鍛,2025/09,-,-,-,-
4529 淳紳,2025/09,-,-,-,-
4530 宏易,2025/09,-,-,-,-
