Current,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
公司代碼,年月日,M0000 特殊 %,M1100 水泥工業 %,M1200 食品工業 %,M1300 塑膠工業 %,M1400 紡織纖維 %,M1500 電機機械 %,M1600 電器電纜 %,M1700 化學生技醫療 %,M1721 化學工業 %,M1722 生技醫療業 %,M1800 玻璃陶瓷 %,M1900 造紙工業 %,M2000 鋼鐵工業 %,M2100 橡膠工業 %,M2200 汽車工業 %,M2300 電子工業 %,M2324 半導體業 %,M2325 電腦及週邊設備業 %,M2326 光電業 %,M2327 通訊網路業 %
T0747E 瀚亞亞太豐平衡AA,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0747F 瀚亞亞太豐平衡BA,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0747G 瀚亞亞太豐平衡AZ,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0747H 瀚亞亞太豐平衡BZ,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0747J 瀚亞亞太豐平衡AC,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0747K 瀚亞亞太豐平衡BC,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0750A 瀚亞全球多重收A,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T0750B 瀚亞全球多重收B,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T0750C 瀚亞全球多重收A$,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T0750D 瀚亞全球多重收B$,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T0750E 瀚亞全球多重收AC,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T0750F 瀚亞全球多重收BC,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T0750G 瀚亞全球多重收S,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T0750H 瀚亞全球多重收S$,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T0750J 瀚亞全球多重收SC,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T0751A 瀚亞全球策收股A,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T0751B 瀚亞全球策收股B,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T0751C 瀚亞全球策收股A$,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T0751D 瀚亞全球策收股B$,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T0751E 瀚亞全球策收股AC,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T0751F 瀚亞全球策收股BC,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T0754A 瀚亞印度平衡Aa,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0754B 瀚亞印度平衡Bd,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0754C 瀚亞印度平衡Bd$,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0754D 瀚亞印度平衡BdC,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0754E 瀚亞印度平衡Sd,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0754F 瀚亞印度平衡Sd$,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0754G 瀚亞印度平衡SdC,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0754H 瀚亞印度平衡Aa$,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0760A 瀚亞印度多重Aa,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T0760B 瀚亞印度多重Bd,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T0760C 瀚亞印度多重Aa$,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T0760D 瀚亞印度多重Bd$,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T0760E 瀚亞印度多重BdC,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T0760F 瀚亞印度多重Sd,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T0760G 瀚亞印度多重Sd$,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T0760H 瀚亞印度多重SdC,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T0769A 瀚亞2030收優Aa,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0769B 瀚亞2030收優Bd,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0769C 瀚亞2030收優Aa$,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0769D 瀚亞2030收優Bd$,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0769E 瀚亞2030收優BdZ,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0771A 瀚亞2031多重Aa$,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0771B 瀚亞2031多重Bd$,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0771C 瀚亞2031多重AaC,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0771D 瀚亞2031多重BdC,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0772A 瀚亞科技資本Aa,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.11,12.32,7.16,0,1.9
T0772B 瀚亞科技資本SAa,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.11,12.32,7.16,0,1.9
T0772C 瀚亞科技資本Aa$,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.11,12.32,7.16,0,1.9
T0772D 瀚亞科技資本SAa$,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.11,12.32,7.16,0,1.9
T0772E 瀚亞科技資本AaC,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.11,12.32,7.16,0,1.9
T0772F 瀚亞科技資本SAaC,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.11,12.32,7.16,0,1.9
T0772G 瀚亞科技資本Bd,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.11,12.32,7.16,0,1.9
T0772H 瀚亞科技資本Sd,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.11,12.32,7.16,0,1.9
T0772J 瀚亞科技資本Bd$,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.11,12.32,7.16,0,1.9
T0772K 瀚亞科技資本Sd$,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.11,12.32,7.16,0,1.9
T0772L 瀚亞科技資本BdC,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.11,12.32,7.16,0,1.9
T0772M 瀚亞科技資本SdC,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.11,12.32,7.16,0,1.9
T0773A 瀚亞智數股Aa,2025/11/28,0,0.14,0,0,0,0.02,0,0,0,0,0,0,0.11,0,0,1.25,0.53,0.13,0,0
T0773B 瀚亞智數股Bd,2025/11/28,0,0.14,0,0,0,0.02,0,0,0,0,0,0,0.11,0,0,1.25,0.53,0.13,0,0
T0773C 瀚亞智數股SAa,2025/11/28,0,0.14,0,0,0,0.02,0,0,0,0,0,0,0.11,0,0,1.25,0.53,0.13,0,0
T0773D 瀚亞智數股Sd,2025/11/28,0,0.14,0,0,0,0.02,0,0,0,0,0,0,0.11,0,0,1.25,0.53,0.13,0,0
T0773E 瀚亞智數股IAa,2025/11/28,0,0.14,0,0,0,0.02,0,0,0,0,0,0,0.11,0,0,1.25,0.53,0.13,0,0
T0773F 瀚亞智數股Aa$,2025/11/28,0,0.14,0,0,0,0.02,0,0,0,0,0,0,0.11,0,0,1.25,0.53,0.13,0,0
T0773G 瀚亞智數股Bd$,2025/11/28,0,0.14,0,0,0,0.02,0,0,0,0,0,0,0.11,0,0,1.25,0.53,0.13,0,0
T0773H 瀚亞智數股SAa$,2025/11/28,0,0.14,0,0,0,0.02,0,0,0,0,0,0,0.11,0,0,1.25,0.53,0.13,0,0
T0773J 瀚亞智數股Sd$,2025/11/28,0,0.14,0,0,0,0.02,0,0,0,0,0,0,0.11,0,0,1.25,0.53,0.13,0,0
T0773K 瀚亞智數股IAa,2025/11/28,0,0.14,0,0,0,0.02,0,0,0,0,0,0,0.11,0,0,1.25,0.53,0.13,0,0
T0773L 瀚亞智數股AaC,2025/11/28,0,0.14,0,0,0,0.02,0,0,0,0,0,0,0.11,0,0,1.25,0.53,0.13,0,0
T0773M 瀚亞智數股BdC,2025/11/28,0,0.14,0,0,0,0.02,0,0,0,0,0,0,0.11,0,0,1.25,0.53,0.13,0,0
T0773N 瀚亞智數股SdC,2025/11/28,0,0.14,0,0,0,0.02,0,0,0,0,0,0,0.11,0,0,1.25,0.53,0.13,0,0
T0773P 瀚亞智數股AaJ,2025/11/28,0,0.14,0,0,0,0.02,0,0,0,0,0,0,0.11,0,0,1.25,0.53,0.13,0,0
T0773Q 瀚亞智數股BdJ,2025/11/28,0,0.14,0,0,0,0.02,0,0,0,0,0,0,0.11,0,0,1.25,0.53,0.13,0,0
T0773R 瀚亞智數股SAaJ,2025/11/28,0,0.14,0,0,0,0.02,0,0,0,0,0,0,0.11,0,0,1.25,0.53,0.13,0,0
T0773S 瀚亞智數股SdJ,2025/11/28,0,0.14,0,0,0,0.02,0,0,0,0,0,0,0.11,0,0,1.25,0.53,0.13,0,0
T0802B PGIM高成長Ia,2025/11/28,0,0,0,2.11,0,5.4,0,0.61,0.61,0,0,0,0,0,0,71.52,20.57,13.33,0.3,3.4
T0802C PGIM高成長TISAa,2025/11/28,0,0,0,2.11,0,5.4,0,0.61,0.61,0,0,0,0,0,0,71.52,20.57,13.33,0.3,3.4
T0802Y PGIM高成長Aa,2025/11/28,0,0,0,2.11,0,5.4,0,0.61,0.61,0,0,0,0,0,0,71.52,20.57,13.33,0.3,3.4
T0803B PGIM金滿意Ra,2025/11/28,0,0,0,0.35,0,2.38,0,0,0,0,0,0,0,0,0.64,72.46,19.51,13.82,0,3.66
T0803Y PGIM金滿意Aa,2025/11/28,0,0,0,0.35,0,2.38,0,0,0,0,0,0,0,0,0.64,72.46,19.51,13.82,0,3.66
T0804Y PGIM亞太Aa,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.92,12.33,1.39,0,1.07
T0806Y PGIM店頭市場Aa,2025/11/28,0,0,0,0,0,3.27,0,0,0,0,0,0,0,0,0.25,25.91,10.91,1.24,3.11,2.76
T0807Y 保德信第一,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T0808Y PGIM科技島Aa,2025/11/28,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,68.65,25.09,6.21,0,8.61
T0809B PGIM大中華Aa$,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.73,12.96,0,0,0.69
T0809C PGIM大中華AaC,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.73,12.96,0,0,0.69
T0809Y PGIM大中華Aa,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.73,12.96,0,0,0.69
T0810B PGIM中小股TISAa,2025/11/28,0,0,0,4.31,0.5,2.84,3.68,0,0,0,2.86,0,0,0,0,42.45,17.32,0,0,5.4
T0810Y PGIM中小型股Aa,2025/11/28,0,0,0,4.31,0.5,2.84,3.68,0,0,0,2.86,0,0,0,0,42.45,17.32,0,0,5.4
T0812B PGIM新世紀Ra,2025/11/28,0,0,0,5.93,2.54,9.82,0,4.34,4.34,0,0,0,2.13,0,0,31.16,12.05,1.29,4.06,0
T0812Y PGIM新世紀Aa,2025/11/28,0,0,0,5.93,2.54,9.82,0,4.34,4.34,0,0,0,2.13,0,0,31.16,12.05,1.29,4.06,0
T0814B PGIM金平衡Ra,2025/11/28,0,0,1.1,1.09,2.45,2.93,0.63,2.86,0,2.86,1.18,0,0,0,0,42.08,12.69,6.68,0,5.4
T0814Y PGIM金平衡Aa,2025/11/28,0,0,1.1,1.09,2.45,2.93,0.63,2.86,0,2.86,1.18,0,0,0,0,42.08,12.69,6.68,0,5.4
T0815Y 保德信台商全方位,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T0816B PGIM醫療生化Aa$,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0816C PGIM醫療生化NAa,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0816D PGIM醫療生化Ia$,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0816E PGIM醫療生化NAa$,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0816Y PGIM醫療生化Aa,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0817B PGIM全球中小Aa$,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0817Y PGIM全球中小Aa,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0826Y PGIM全球資源Aa,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0827Y PGIM全基建設Aa,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0828Y PGIM全消商機Aa,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0830Y PGIM拉丁美洲Aa,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0832B PGIM中國品牌Aa$,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0832C PGIM中國品牌AaC,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0832D PGIM中國品牌Na,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0832E PGIM中國品牌NaC,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0832F PGIM中國品牌Na$,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0832Y PGIM中國品牌Aa,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0836B PGIM中國中小Aa$,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0836C PGIM中國中小AaC,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0836Y PGIM中國中小Aa,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0847A PGIM全供應鏈Aa,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0847B PGIM全供應鏈NAa,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0847C PGIM全供應鏈Aa$,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0847D PGIM全供應鏈NAa$,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0847E PGIM全供應鏈AaC,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0848A PGIM生態ESG.Aa,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4.86,0,0,0
T0848B PGIM生態ESG.Bd,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4.86,0,0,0
T0848C PGIM生態ESG.NAa,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4.86,0,0,0
T0848D PGIM生態ESG.NBd,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4.86,0,0,0
T0848E PGIM生態ESG.Aa$,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4.86,0,0,0
T0848F PGIM生態ESG.Bd$,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4.86,0,0,0
T0848G PGIM生態ESG.NAa$,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4.86,0,0,0
T0848H PGIM生態ESG.NBd$,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4.86,0,0,0
T0848J PGIM生態ESG.AaC,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4.86,0,0,0
T0848K PGIM生態ESG.BdC,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4.86,0,0,0
T0848L PGIM生態ESG.AaZ,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4.86,0,0,0
T0848M PGIM生態ESG.BdZ,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4.86,0,0,0
T0890A PGIM中國好平Aa,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0890B PGIM中國好平Bd,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0890C PGIM中國好平Bd$,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0890D PGIM中國好平BdC,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0901Y 統一統信,2025/11/28,0,0,0,0.13,0,1.43,0,0,0,0,0,0,0,0,0,72.9,14.25,15.42,0,4.49
T0902A 統一全天候I,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.65,18.37,14.38,0,4.03
T0902Y 統一全天候A,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.65,18.37,14.38,0,4.03
T0903Y 統一黑馬,2025/11/28,0,0,0,0,0,0.77,0,0,0,0,1.04,0,0,0,0,74.56,20.95,14.97,0,2.43
T0904Y 統一龍馬,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,9.21,18.74,0,8.52
T0906Y 統一中小,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.78,23.2,10.02,0,0.04
T0909Y 統一經建,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.51,12.05,18.44,0,7.09
T0910Y 統一奔騰,2025/11/28,0,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0,84.67,11.73,20.51,0,6.44
T0911A 統一大滿貫I,2025/11/28,0,0,0,2.37,0,3.18,0,0,0,0,0.14,0,0,0,0,75.33,15.35,13.16,0,6.85
T0911B 統一大滿貫TI,2025/11/28,0,0,0,2.37,0,3.18,0,0,0,0,0.14,0,0,0,0,75.33,15.35,13.16,0,6.85
T0911Y 統一大滿貫A,2025/11/28,0,0,0,2.37,0,3.18,0,0,0,0,0.14,0,0,0,0,75.33,15.35,13.16,0,6.85
T0912Y 統一亞太,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.47,5.55,5.43,0,1.91
T0921B 統一強漢$,2025/11/28,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0,16.54,2.43,3.68,0,0.42
T0921C 統一強漢C,2025/11/28,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0,16.54,2.43,3.68,0,0.42
T0921Y 統一強漢,2025/11/28,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0,16.54,2.43,3.68,0,0.42
T0922A 統一台灣動力TI,2025/11/28,0,0,0,2.34,0,3.14,0,0,0,0,0.15,0,0,0,0,74.43,14.86,13.06,0,6.61
T0922Y 統一台灣動力,2025/11/28,0,0,0,2.34,0,3.14,0,0,0,0,0.15,0,0,0,0,74.43,14.86,13.06,0,6.61
T0923Y 統一大龍印,2025/11/28,0,0,0,0,0,3.32,0,0,0,0,0,0,0,0,0,8.18,0,3.65,0,0
T0924B 統一大中華中小$,2025/11/28,0,0,0,0,0,0,0,0,0,0,2.01,0,0,0,0,32.6,4.28,6.49,0,0
T0924C 統一大中華中小C,2025/11/28,0,0,0,0,0,0,0,0,0,0,2.01,0,0,0,0,32.6,4.28,6.49,0,0
T0924Y 統一大中華中小,2025/11/28,0,0,0,0,0,0,0,0,0,0,2.01,0,0,0,0,32.6,4.28,6.49,0,0
T0925Y 統一亞洲科技能源,2025/11/28,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,30.91,7.35,6.01,0,3.32
T0927Y 統一亞洲大金磚,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.21,6.42,4.57,0,2.08
T0931B 統一大龍騰中國$,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.04,1.97,12.58,0,1.5
T0931C 統一大龍騰中國C,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.04,1.97,12.58,0,1.5
T0931Y 統一大龍騰中國,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.04,1.97,12.58,0,1.5
T0933A 統一全球新科技,2025/11/28,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,19.92,5.21,4.47,0,2.33
T0933B 統一全球新科技 $,2025/11/28,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,19.92,5.21,4.47,0,2.33
T0933C 統一全球新科技 C,2025/11/28,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,19.92,5.21,4.47,0,2.33
T0934A 統一全球動多產A,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.9,7.88,12.33,0,2.75
T0934B 統一全球動多產B,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.9,7.88,12.33,0,2.75
T0934C 統一全球動多產A$,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.9,7.88,12.33,0,2.75
T0934D 統一全球動多產B$,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.9,7.88,12.33,0,2.75
T0934E 統一全球動多產AC,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.9,7.88,12.33,0,2.75
T0934F 統一全球動多產BC,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.9,7.88,12.33,0,2.75
T0935A 統一大東協高息,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.71,5.79,4.25,3.21,1.74
T0935B 統一大東協高息$,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.71,5.79,4.25,3.21,1.74
T0935C 統一大東協高息C,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.71,5.79,4.25,3.21,1.74
T0938A 統一全AIoT.Aa,2025/11/28,0,0,0,0,0,2.71,0,0,0,0,0,0,0,0,0,38.24,5.09,14.54,0,0.56
T0938B 統一全AIoT.Aa$,2025/11/28,0,0,0,0,0,2.71,0,0,0,0,0,0,0,0,0,38.24,5.09,14.54,0,0.56
T0938C 統一全AIoT.AaC,2025/11/28,0,0,0,0,0,2.71,0,0,0,0,0,0,0,0,0,38.24,5.09,14.54,0,0.56
T0945A 統一台高息Aa,2025/11/28,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,2.3,85.25,17.8,21.95,1.03,5.83
T0945B 統一台高息Bd,2025/11/28,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,2.3,85.25,17.8,21.95,1.03,5.83
T0948A 統一優選低波Aa,2025/11/28,0,0.16,0.11,0,0.15,0,0,0.24,0.24,0,0,0,0,0,0.13,3.37,1.21,1.01,0,0
T0948B 統一優選低波Bd,2025/11/28,0,0.16,0.11,0,0.15,0,0,0.24,0.24,0,0,0,0,0,0.13,3.37,1.21,1.01,0,0
T1001B 富邦基金Ia,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.08,5.34,8.33,0,8.28
T1001Y 富邦基金Ad,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.08,5.34,8.33,0,8.28
T1004Y 富邦精準,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.67,6.65,12.28,0,5.09
T1005Y 富邦長紅,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.15,5.45,8.72,0,7.28
T1006Y 富邦台灣鳳凰,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1010A 富邦精銳中TISAa,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.76,6.68,12.15,0,4.66
T1010Y 富邦精銳中小,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.76,6.68,12.15,0,4.66
T1011Y 富邦高成長,2025/11/28,0,0,0,0,0,9.06,4.63,0,0,0,0,0,0,0,3.62,46.09,4.3,17.27,0,3.1
T1012Y 富邦科技基金,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.53,9.72,11.42,0,4.75
T1017Y 富邦台灣心,2025/11/28,0,0,0,0,0,8.82,5.6,0,0,0,0,0,0,0,3.71,42.47,4.16,15.74,0,3.03
T1026Y 富邦全球不動產,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1028B 富邦大中華成長 $,2025/11/28,0,0,0,0,0,3.23,0,0,0,0,0,0,0,0,0,10.33,0,4.61,0,0
T1028Y 富邦大中華成長,2025/11/28,0,0,0,0,0,3.23,0,0,0,0,0,0,0,0,0,10.33,0,4.61,0,0
T1047A 富邦中多重資產A,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1047B 富邦中多重資產B,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1047C 富邦中多重資產AC,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1047D 富邦中多重資產BC,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
