Current,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
公司代碼,年月日,M0000 特殊 %,M1100 水泥工業 %,M1200 食品工業 %,M1300 塑膠工業 %,M1400 紡織纖維 %,M1500 電機機械 %,M1600 電器電纜 %,M1700 化學生技醫療 %,M1721 化學工業 %,M1722 生技醫療業 %,M1800 玻璃陶瓷 %,M1900 造紙工業 %,M2000 鋼鐵工業 %,M2100 橡膠工業 %,M2200 汽車工業 %,M2300 電子工業 %,M2324 半導體業 %,M2325 電腦及週邊設備業 %,M2326 光電業 %,M2327 通訊網路業 %
00709 富邦歐洲,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00712 復華富時不動產,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00713 元大台灣高息低波,2025/11/28,0,0,1.79,0,1.44,0,0,1.27,1.27,0,0,0,1.49,0,1.46,49.02,8.3,3.38,2.74,19.23
00714 群益道瓊美國地產,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00717 富邦美國特別股,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00728 第一金工業30,2025/11/28,0,0,1.23,0,3.75,4.89,0,1.4,1.4,0,0,0,0.69,0,0.87,83.94,51.04,2.99,5.01,0
00730 富邦臺灣優質高息,2025/11/28,0,0,0,0,7.22,0,0,5.1,5.1,0,0,0,0,0,0,56.08,16.46,0.89,7.82,0
00731 復華富時高息低波,2025/11/28,0,1.32,5.51,1.64,1.25,1.53,0,0.42,0.42,0,0,0,0.47,0.88,2.92,29.88,11.08,2.51,1.79,11.8
00733 富邦臺灣中小,2025/11/28,0,0,1.22,0,3.6,5.89,6.3,8.01,0.71,7.3,0,0,1.62,0,0.87,50.82,17.71,19.5,5.1,0
00735 國泰臺韓科技,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.46,29.33,8.1,1.03,3.05
00736 國泰新興市場,2025/11/28,0,0,0.41,0.19,0,0,0,0,0,0,0,0,0,0,0.33,19.39,12.45,2.79,0,0.61
00737 國泰AI機器人,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0
00739 元大MSCI A股,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00742 新光內需收益,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00743 國泰中國A150,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00752 中信中國50,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00757 統一FANG+,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00762 元大全球AI,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21,1.21,0,0,0
00767 FH美國金融股,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00770 國泰標普北美科技,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00771 元大US高息特別股,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00776 新光ICE美國權值,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00783 富邦中証500,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00830 國泰費城半導體,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00850 元大臺灣ESG永續,2025/11/28,0,0.67,0.94,0.71,0.43,0.89,0.2,0.54,0.17,0.37,0,0,0.55,0.15,0.54,74.96,44.47,8.92,0.94,3.37
00851 台新全球AI,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94,5.94,0,0,0
00858 永豐美國500大,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00861 元大全球未來通訊,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,11.21,0.71,0.21,0.78
00866 新光Shiller CAPE,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00875 國泰網路資安 ETF,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00876 元大全球5G,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.3,14.12,0.24,0.49,0.99
00877 復華中國5G,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00878 國泰永續高股息,2025/11/28,0,0,2.64,0,1.79,0,0,0,0,0,0,0,0,1.18,0,49.97,22.92,16.77,0,7.42
00881 國泰台灣科技龍頭,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.35,54.52,9.75,1.36,5
00882 中信中國高股息,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00885 富邦越南,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00886 永豐美國科技,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00887 永豐中國科技50大,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00888 永豐台灣ESG,2025/11/28,0,0.22,0,0,0.27,0.04,0,0.02,0,0.02,0,0,0,0,0,84.82,52.33,14.49,0.26,3.88
00891 中信關鍵半導體,2025/11/28,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,86.59,81.42,0,0,0
00892 富邦台灣半導體,2025/11/28,0,0,0,0,0,1.56,0,0,0,0,0,0,0,0,0,70.13,65.57,0,0,1.25
00893 國泰智能電動車,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.12,0,0,0,0
00894 中信小資高價30,2025/11/28,0,0,0,0,0,1.65,0,0,0,0,0,0,0,0,0,82.64,37.53,13.47,0,3.64
00895 富邦未來車,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.22,15.22,0,0,0
00896 中信綠能及電動車,2025/11/28,0,3.76,0,3.18,0,3.61,2.6,0.53,0.53,0,0,0,3.02,1.05,0,71.17,23.59,13.82,2.22,5.83
00897 富邦基因免疫生技,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00898 國泰基因免疫革命,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00899 FT潔淨能源,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00900 富邦特選高股息30,2025/11/28,0,2.79,4.92,0,4.72,0,0,3.69,3.69,0,0,0,0,0,0,34.36,13.3,0,4.65,0
00901 永豐智能車供應鏈,2025/11/28,0,0.46,0,0,0,2.1,0.53,0,0,0,0,0,0,0.23,0.16,93.34,47.22,12.69,1.87,2.33
00902 中信電池及儲能,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00903 富邦元宇宙,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18,1.52,0,0,1.66
00904 新光臺灣半導體30,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.46,81.46,0,0,0
00905 FT臺灣Smart,2025/11/28,0,0,0.54,0,0.44,0.93,0.03,1.36,0.86,0.5,0,0,0.11,0,0.57,77.82,41.26,5.82,0.96,4.49
00906 大華元宇宙科技50,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00907 永豐優息存股,2025/11/28,0,2.87,0,0,8.72,8.53,0,0,0,0,0,0,0,2.32,2.36,0,0,0,0,0
00908 富邦入息REITs+,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00909 國泰數位支付服務,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00910 第一金太空衛星,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.06,3.57,0,0,5.49
00911 兆豐洲際半導體,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00912 中信臺灣智慧 50,2025/11/28,0,0,0.12,0.33,0,0,0,0.1,0,0.1,0,0,0.12,0,0,78.77,48.02,8.98,0.59,3.71
00913 兆豐台灣晶圓製造,2025/11/28,0,0,0,0,0,1.8,0,2.21,2.21,0,0,0,0,0,0,66.42,62.36,0,0,0
00915 凱基優選高股息30,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,34.6,16.79,5.31,7.12,0
00916 國泰全球品牌50,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00917 中信特選金融,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
