Current,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
基金碼,日期,基金淨資產 (千元),A1  投資國內上市股票比例,A2  投資國內台灣存託憑證,A3  投資國內基金比例,A4  投資國內上櫃股票比例,A5  投資國內買斷債券比例,A6  投資國內RP比例,A7  國內資產證券化商品,A8  投資國內其他有價證券,A0  投資國內有價證券比例,B1  國內短期投資-短票,B2  國內短期投資-其他,B3  短期投資-一般存款,B4  短期投資-短期票券-RP,B0  國內短期投資小計,A+B 投資國內合計,C1  投資日本比例,C2  投資紐澳比例,C3  投資國外其他區域比例,C4  投資北美比例
T0934B 統一全球動多產B,2025/10,"230,579",36.8,0,0,2.5,0,0,0,0,39.3,0,0,6.57,0,6.57,45.87,4.09,0,0,41.03
T0934C 統一全球動多產A$,2025/10,"146,029",36.8,0,0,2.5,0,0,0,0,39.3,0,0,6.57,0,6.57,45.87,4.09,0,0,41.03
T0934D 統一全球動多產B$,2025/10,"15,089",36.8,0,0,2.5,0,0,0,0,39.3,0,0,6.57,0,6.57,45.87,4.09,0,0,41.03
T0934E 統一全球動多產AC,2025/10,"12,099",36.8,0,0,2.5,0,0,0,0,39.3,0,0,6.57,0,6.57,45.87,4.09,0,0,41.03
T0934F 統一全球動多產BC,2025/10,"22,655",36.8,0,0,2.5,0,0,0,0,39.3,0,0,6.57,0,6.57,45.87,4.09,0,0,41.03
T0935A 統一大東協高息,2025/10,"403,498",22.41,0,0,1.18,0,0,0,0,23.59,0,0,3.13,0,3.13,26.72,14.19,0,0,15.83
T0935B 統一大東協高息$,2025/10,"10,323",22.41,0,0,1.18,0,0,0,0,23.59,0,0,3.13,0,3.13,26.72,14.19,0,0,15.83
T0935C 統一大東協高息C,2025/10,"10,531",22.41,0,0,1.18,0,0,0,0,23.59,0,0,3.13,0,3.13,26.72,14.19,0,0,15.83
T0938A 統一全AIoT.Aa,2025/10,"3,653,816",38.05,0,0,2.12,0,0,0,0,40.17,0,0,3.77,0,3.77,43.94,0,0,0,48.74
T0938B 統一全AIoT.Aa$,2025/10,"192,670",38.05,0,0,2.12,0,0,0,0,40.17,0,0,3.77,0,3.77,43.94,0,0,0,48.74
T0938C 統一全AIoT.AaC,2025/10,"60,677",38.05,0,0,2.12,0,0,0,0,40.17,0,0,3.77,0,3.77,43.94,0,0,0,48.74
T0945A 統一台高息Aa,2025/10,"7,091,425",89.21,0,0,7.88,0,0,0,0,97.09,0,0,4.06,0,4.06,101.15,0,0,0,0
T0945B 統一台高息Bd,2025/10,"3,609,796",89.21,0,0,7.88,0,0,0,0,97.09,0,0,4.06,0,4.06,101.15,0,0,0,0
T0948A 統一優選低波Aa,2025/10,"2,824,261",7.88,0,67.22,0.77,18.08,0,0,0,93.95,0,0,7.41,0,7.41,101.36,0,0,0,0
T0948B 統一優選低波Bd,2025/10,"662,356",7.88,0,67.22,0.77,18.08,0,0,0,93.95,0,0,7.41,0,7.41,101.36,0,0,0,0
T1001B 富邦基金Ia,2025/10,"114,459",76.13,0,0,20.7,0,0,0,0,96.83,0,0,3.76,0,3.76,100.59,0,0,0,0
T1001Y 富邦基金Ad,2025/10,"2,538,022",76.13,0,0,20.7,0,0,0,0,96.83,0,0,3.76,0,3.76,100.59,0,0,0,0
T1004Y 富邦精準,2025/10,"4,037,535",59.7,0,0,35.13,0,0,0,0,94.83,0,0,5.08,0,5.08,99.91,0,0,0,0
T1005Y 富邦長紅,2025/10,"2,631,029",75.97,0,0,20.87,0,0,0,0,96.84,0,0,4.12,0,4.12,100.96,0,0,0,0
T1006Y 富邦台灣鳳凰,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1008Y 富邦吉祥貨幣市場,2025/10,"79,818,216",0,0,0,0,0.5,7.04,0,0,7.54,25.64,0,66.14,0.5,92.28,99.82,0,0,0,0
T1010A 富邦精銳中TISAa,2025/10,"7,391",60.4,0,0,36.01,0,0,0,0,96.41,0,0,5.14,0,5.14,101.55,0,0,0,0
T1010Y 富邦精銳中小,2025/10,"2,416,235",60.4,0,0,36.01,0,0,0,0,96.41,0,0,5.14,0,5.14,101.55,0,0,0,0
T1011Y 富邦高成長,2025/10,"2,778,932",74.09,0,0,19.06,0,0,0,0,93.15,0,0,5.03,0,5.03,98.18,0,0,0,0
T1012Y 富邦科技基金,2025/10,"1,100,035",61.14,0,0,32.41,0,0,0,0,93.55,0,0,5.49,0,5.49,99.04,0,0,0,0
T1017Y 富邦台灣心,2025/10,"1,013,493",73.35,0,0,21.27,0,0,0,0,94.62,0,0,5.47,0,5.47,100.09,0,0,0,0
T1026B 富邦全球不動產 $,2025/10,"151,456",0,0,0,0,0,0,0,0,0,0,0,1.67,0,1.67,1.67,3.73,9.03,0,69.6
T1026Y 富邦全球不動產,2025/10,"139,523",0,0,0,0,0,0,0,0,0,0,0,1.67,0,1.67,1.67,3.73,9.03,0,69.6
T1028B 富邦大中華成長 $,2025/10,"136,920",13.95,0,0,3.58,0,0,0,0,17.53,0,0,3.12,0,3.12,20.65,0,0,0,0
T1028Y 富邦大中華成長,2025/10,"688,807",13.95,0,0,3.58,0,0,0,0,17.53,0,0,3.12,0,3.12,20.65,0,0,0,0
T1034A 富邦全投資債Aa,2025/10,"1,038,738",0,0,1.25,0,0,0,0,0,1.25,0,0,1.24,0,1.24,2.49,10.7,6.14,0,61.92
T1034B 富邦全投資債Bd,2025/10,"483,747",0,0,1.25,0,0,0,0,0,1.25,0,0,1.24,0,1.24,2.49,10.7,6.14,0,61.92
T1034C 富邦全投資債Aa$,2025/10,"494,704",0,0,1.25,0,0,0,0,0,1.25,0,0,1.24,0,1.24,2.49,10.7,6.14,0,61.92
T1034D 富邦全投資債Bd$,2025/10,"12,199",0,0,1.25,0,0,0,0,0,1.25,0,0,1.24,0,1.24,2.49,10.7,6.14,0,61.92
T1034E 富邦全投資債AaC,2025/10,"312,182",0,0,1.25,0,0,0,0,0,1.25,0,0,1.24,0,1.24,2.49,10.7,6.14,0,61.92
T1034F 富邦全投資債BdC,2025/10,"3,402",0,0,1.25,0,0,0,0,0,1.25,0,0,1.24,0,1.24,2.49,10.7,6.14,0,61.92
T1034G 富邦全投資債Ra,2025/10,"9,938",0,0,1.25,0,0,0,0,0,1.25,0,0,1.24,0,1.24,2.49,10.7,6.14,0,61.92
T1039A 富邦策略高收債A,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1039B 富邦策略高收債B,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1039C 富邦策略高收債C,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1039D 富邦策略高收債A$,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1039E 富邦策略高收債C$,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1041A 富邦中非投債AaC,2025/10,"48,544",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4.08,0,55.8,0
T1041B 富邦中非投債BdC,2025/10,"160,515",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4.08,0,55.8,0
T1041C 富邦中非投債Aa$,2025/10,"103,551",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4.08,0,55.8,0
T1041D 富邦中非投債Bd$,2025/10,"11,151",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4.08,0,55.8,0
T1042A 富邦亞優債A CNY,2025/10,"37,125",0,0,0,0,0,0,0,0,0,0,0,0.74,0,0.74,0.74,21.53,18.61,0,25.21
T1042B 富邦亞優債B CNY,2025/10,"34,692",0,0,0,0,0,0,0,0,0,0,0,0.74,0,0.74,0.74,21.53,18.61,0,25.21
T1042C 富邦亞優債A USD,2025/10,"268,961",0,0,0,0,0,0,0,0,0,0,0,0.74,0,0.74,0.74,21.53,18.61,0,25.21
T1042D 富邦亞優債B USD,2025/10,"2,384",0,0,0,0,0,0,0,0,0,0,0,0.74,0,0.74,0.74,21.53,18.61,0,25.21
T1044A 富邦中國貨幣市場,2025/10,"91,634",0,0,0,0,0,10.4,0,0,10.4,0,0,57.92,0,57.92,68.32,0,0,8.2,0
T1044B 富邦中國貨幣CNY,2025/10,"114,345",0,0,0,0,0,10.4,0,0,10.4,0,0,57.92,0,57.92,68.32,0,0,8.2,0
T1047A 富邦中多重資產A,2025/10,"65,380",0,0,0,0,0,0,0,0,0,0,0,9.4,0,9.4,9.4,0,0,0,21.57
T1047B 富邦中多重資產B,2025/10,"29,001",0,0,0,0,0,0,0,0,0,0,0,9.4,0,9.4,9.4,0,0,0,21.57
T1047C 富邦中多重資產AC,2025/10,"42,893",0,0,0,0,0,0,0,0,0,0,0,9.4,0,9.4,9.4,0,0,0,21.57
T1047D 富邦中多重資產BC,2025/10,"23,272",0,0,0,0,0,0,0,0,0,0,0,9.4,0,9.4,9.4,0,0,0,21.57
T1047E 富邦中多重資產A$,2025/10,"17,039",0,0,0,0,0,0,0,0,0,0,0,9.4,0,9.4,9.4,0,0,0,21.57
T1047F 富邦中多重資產B$,2025/10,"8,306",0,0,0,0,0,0,0,0,0,0,0,9.4,0,9.4,9.4,0,0,0,21.57
T1063A 富邦絲路多資產A,2025/10,"78,667",0,0,0,0,0,0,0,0,0,0,0,6.59,0,6.59,6.59,29.42,0,0,28.21
T1063B 富邦絲路多資產B,2025/10,"19,373",0,0,0,0,0,0,0,0,0,0,0,6.59,0,6.59,6.59,29.42,0,0,28.21
T1063C 富邦絲路多資產AC,2025/10,"17,117",0,0,0,0,0,0,0,0,0,0,0,6.59,0,6.59,6.59,29.42,0,0,28.21
T1063D 富邦絲路多資產BC,2025/10,"15,455",0,0,0,0,0,0,0,0,0,0,0,6.59,0,6.59,6.59,29.42,0,0,28.21
T1063E 富邦絲路多資產A$,2025/10,"22,991",0,0,0,0,0,0,0,0,0,0,0,6.59,0,6.59,6.59,29.42,0,0,28.21
T1063F 富邦絲路多資產B$,2025/10,"15,523",0,0,0,0,0,0,0,0,0,0,0,6.59,0,6.59,6.59,29.42,0,0,28.21
T1073A 富邦新雙印主債A,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1073B 富邦新雙印主債B,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1073C 富邦新雙印主債A$,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1073D 富邦新雙印主債B$,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1079A 富邦6Y新興債$,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1079B 富邦6Y新興債C,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1080A 富邦AI多重Aa,2025/10,"2,579,862",10.91,0,6.17,2.53,0,0,0,0,19.61,0,0,4.33,0,4.33,23.94,0,0,0,72.85
T1080B 富邦AI多重Na,2025/10,"444,726",10.91,0,6.17,2.53,0,0,0,0,19.61,0,0,4.33,0,4.33,23.94,0,0,0,72.85
T1080C 富邦AI多重AaC,2025/10,"350,488",10.91,0,6.17,2.53,0,0,0,0,19.61,0,0,4.33,0,4.33,23.94,0,0,0,72.85
T1080D 富邦AI多重NaC,2025/10,"185,332",10.91,0,6.17,2.53,0,0,0,0,19.61,0,0,4.33,0,4.33,23.94,0,0,0,72.85
T1080E 富邦AI多重Aa$,2025/10,"986,201",10.91,0,6.17,2.53,0,0,0,0,19.61,0,0,4.33,0,4.33,23.94,0,0,0,72.85
T1080F 富邦AI多重Na$,2025/10,"179,137",10.91,0,6.17,2.53,0,0,0,0,19.61,0,0,4.33,0,4.33,23.94,0,0,0,72.85
T1088A 富邦3Y亞美債Aa,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1088B 富邦3Y亞美債Bd,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1088C 富邦3Y亞美債AaC,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1088D 富邦3Y亞美債BdC,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1088E 富邦3Y亞美債Aa$,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1088F 富邦3Y亞美債Bd$,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1089A 富邦台高股息Aa,2025/10,"1,109,693",78.41,0,0,14.89,0,0,0,0,93.3,0,0,5.9,0,5.9,99.2,0,0,0,0
T1089B 富邦台高股息Bd,2025/10,"691,640",78.41,0,0,14.89,0,0,0,0,93.3,0,0,5.9,0,5.9,99.2,0,0,0,0
T1097A 富邦台美雙星Aa,2025/10,"856,623",6.16,0,18.18,1.66,0,0,0,0,26,0,0,7.66,0,7.66,33.66,0,0,0,64.17
T1097B 富邦台美雙星NAa,2025/10,"319,084",6.16,0,18.18,1.66,0,0,0,0,26,0,0,7.66,0,7.66,33.66,0,0,0,64.17
T1097C 富邦台美雙星Bd,2025/10,"1,862,466",6.16,0,18.18,1.66,0,0,0,0,26,0,0,7.66,0,7.66,33.66,0,0,0,64.17
T1097D 富邦台美雙星NBd,2025/10,"4,223,375",6.16,0,18.18,1.66,0,0,0,0,26,0,0,7.66,0,7.66,33.66,0,0,0,64.17
T1097E 富邦台美雙星AaC,2025/10,"37,506",6.16,0,18.18,1.66,0,0,0,0,26,0,0,7.66,0,7.66,33.66,0,0,0,64.17
T1097F 富邦台美雙星NAaC,2025/10,"128,341",6.16,0,18.18,1.66,0,0,0,0,26,0,0,7.66,0,7.66,33.66,0,0,0,64.17
T1097G 富邦台美雙星BdC,2025/10,"162,178",6.16,0,18.18,1.66,0,0,0,0,26,0,0,7.66,0,7.66,33.66,0,0,0,64.17
T1097H 富邦台美雙星NBdC,2025/10,"492,693",6.16,0,18.18,1.66,0,0,0,0,26,0,0,7.66,0,7.66,33.66,0,0,0,64.17
T1097J 富邦台美雙星Aa$,2025/10,"210,739",6.16,0,18.18,1.66,0,0,0,0,26,0,0,7.66,0,7.66,33.66,0,0,0,64.17
T1097K 富邦台美雙星NAa$,2025/10,"138,378",6.16,0,18.18,1.66,0,0,0,0,26,0,0,7.66,0,7.66,33.66,0,0,0,64.17
T1097L 富邦台美雙星Bd$,2025/10,"497,785",6.16,0,18.18,1.66,0,0,0,0,26,0,0,7.66,0,7.66,33.66,0,0,0,64.17
T1097M 富邦台美雙星NBd$,2025/10,"1,489,321",6.16,0,18.18,1.66,0,0,0,0,26,0,0,7.66,0,7.66,33.66,0,0,0,64.17
T1099A 富邦美通膨Aa,2025/10,"63,508",0,0,0,0,0,0,0,0,0,0,0,1.69,0,1.69,1.69,0,0,0,97.81
T1099B 富邦美通膨Bd,2025/10,"13,071",0,0,0,0,0,0,0,0,0,0,0,1.69,0,1.69,1.69,0,0,0,97.81
T1099C 富邦美通膨Aa$,2025/10,"17,549",0,0,0,0,0,0,0,0,0,0,0,1.69,0,1.69,1.69,0,0,0,97.81
T1099D 富邦美通膨Bd$,2025/10,"10,851",0,0,0,0,0,0,0,0,0,0,0,1.69,0,1.69,1.69,0,0,0,97.81
T10A1A 富邦雙核戰Aa,2025/10,"2,594,602",0,0,14.78,0,0,23.85,0,0,38.63,0,0,6.36,0,6.36,44.99,1.36,0,2.45,30.72
T10A1B 富邦雙核戰NAa,2025/10,"97,691",0,0,14.78,0,0,23.85,0,0,38.63,0,0,6.36,0,6.36,44.99,1.36,0,2.45,30.72
T10A1C 富邦雙核戰Bd,2025/10,"466,125",0,0,14.78,0,0,23.85,0,0,38.63,0,0,6.36,0,6.36,44.99,1.36,0,2.45,30.72
T10A1D 富邦雙核戰NBd,2025/10,"178,069",0,0,14.78,0,0,23.85,0,0,38.63,0,0,6.36,0,6.36,44.99,1.36,0,2.45,30.72
T10A1E 富邦雙核戰AaC,2025/10,"236,544",0,0,14.78,0,0,23.85,0,0,38.63,0,0,6.36,0,6.36,44.99,1.36,0,2.45,30.72
T10A1F 富邦雙核戰NAaC,2025/10,"34,018",0,0,14.78,0,0,23.85,0,0,38.63,0,0,6.36,0,6.36,44.99,1.36,0,2.45,30.72
T10A1G 富邦雙核戰BdC,2025/10,"107,388",0,0,14.78,0,0,23.85,0,0,38.63,0,0,6.36,0,6.36,44.99,1.36,0,2.45,30.72
T10A1H 富邦雙核戰NBdC,2025/10,"75,245",0,0,14.78,0,0,23.85,0,0,38.63,0,0,6.36,0,6.36,44.99,1.36,0,2.45,30.72
T10A1J 富邦雙核戰Aa$,2025/10,"1,557,982",0,0,14.78,0,0,23.85,0,0,38.63,0,0,6.36,0,6.36,44.99,1.36,0,2.45,30.72
T10A1K 富邦雙核戰NAa$,2025/10,"120,535",0,0,14.78,0,0,23.85,0,0,38.63,0,0,6.36,0,6.36,44.99,1.36,0,2.45,30.72
T10A1L 富邦雙核戰Bd$,2025/10,"421,212",0,0,14.78,0,0,23.85,0,0,38.63,0,0,6.36,0,6.36,44.99,1.36,0,2.45,30.72
T10A1M 富邦雙核戰NBd$,2025/10,"255,257",0,0,14.78,0,0,23.85,0,0,38.63,0,0,6.36,0,6.36,44.99,1.36,0,2.45,30.72
T1101Y 摩根台灣,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1102Y 摩根台灣增長,2025/10,"1,873,965",96.77,0,0,2.56,0,0,0,0,99.33,0,0,0.85,0,0.85,100.18,0,0,0,0
T1103Y 摩根新興日本,2025/10,"760,591",0,0,0,0,0,0,0,0,0,0,0,0.86,0,0.86,0.86,97.1,0,0,0
T1104A 摩根新興科技DAa,2025/10,"506,258",79.21,0,0,16.79,0,0,0,0.98,96.98,0,0,2.44,0,2.44,99.42,0,0,0,0
T1104Y 摩根新興科技Aa,2025/10,"10,194,660",79.21,0,0,16.79,0,0,0,0.98,96.98,0,0,2.44,0,2.44,99.42,0,0,0,0
T1105Y 摩根台灣貨幣市場,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1106A 摩根亞洲DAa,2025/10,"84,711",17.92,0,0,1.06,0,0,0,0,18.98,0,0,0.71,0,0.71,19.69,0,0,0,2.72
T1106Y 摩根亞洲Aa,2025/10,"4,848,769",17.92,0,0,1.06,0,0,0,0,18.98,0,0,0.71,0,0.71,19.69,0,0,0,2.72
T1107Y 摩根第一貨幣市場,2025/10,"3,527,832",0,0,0,0,0,16.14,0,0,16.14,65.02,0,9.72,9.06,83.8,99.94,0,0,0,0
T1108A 摩根龍揚DAa,2025/10,"16,611",28.08,0,0,5.33,0,0,0,0,33.41,0,0,0.73,0,0.73,34.14,0,0,0,3.8
T1108Y 摩根龍揚,2025/10,"6,360,816",28.08,0,0,5.33,0,0,0,0,33.41,0,0,0.73,0,0.73,34.14,0,0,0,3.8
T1109A 摩根東方科技DAa,2025/10,"48,365",14.78,0,0,0,0,0,0,0,14.78,0,0,0.58,0,0.58,15.36,24.77,1.45,0,9.36
T1109Y 摩根東方科技Aa,2025/10,"4,377,598",14.78,0,0,0,0,0,0,0,14.78,0,0,0.58,0,0.58,15.36,24.77,1.45,0,9.36
T1110A 摩根大歐洲DAa,2025/10,"49,318",0,0,0,0,0,0,0,0,0,0,0,0.09,0,0.09,0.09,0,0,0,0
T1110Y 摩根大歐洲Aa,2025/10,"4,628,797",0,0,0,0,0,0,0,0,0,0,0,0.09,0,0.09,0.09,0,0,0,0
T1111Y 摩根中小,2025/10,"1,818,053",70.99,0,0,22.48,0,0,0,0.96,94.43,0,0,3.22,0,3.22,97.65,0,0,0,0
T1112Y 摩根價值成長,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1114Y 摩根平衡,2025/10,"3,903,917",69.2,0,5.15,7.45,10.21,0,0,0.45,92.46,0,0,7.56,0,7.56,100.02,0,0,0,0
T1117Y 摩根全球平衡,2025/10,"753,690",5.72,0,0,0.28,0,0,0,0,6,0,0,0.88,0,0.88,6.88,5.13,0,10.39,24.19
T1119A 摩根全創成Aa$,2025/10,"131,155",4.56,0,0,0,0,0,0,0,4.56,0,0,1.23,0,1.23,5.79,3.82,0,0,68.39
T1119B 摩根全創成DAa,2025/10,"521,399",4.56,0,0,0,0,0,0,0,4.56,0,0,1.23,0,1.23,5.79,3.82,0,0,68.39
T1119Y 摩根全創成Aa,2025/10,"3,783,827",4.56,0,0,0,0,0,0,0,4.56,0,0,1.23,0,1.23,5.79,3.82,0,0,68.39
T1120A 摩根亞高息平衡 A,2025/10,"518,858",7.7,0,0,0.11,0,0,0,0,7.81,0,0,0.73,0,0.73,8.54,0,8.57,14.12,1.46
T1120B 摩根亞高息平衡 B,2025/10,"75,258",7.7,0,0,0.11,0,0,0,0,7.81,0,0,0.73,0,0.73,8.54,0,8.57,14.12,1.46
T1124A 摩根絕對日本DAa,2025/10,"129,471",0,0,0,0,0,0,0,0,0,0,0,1.86,0,1.86,1.86,97.51,0,0,0
T1124Y 摩根絕對日本,2025/10,"1,321,300",0,0,0,0,0,0,0,0,0,0,0,1.86,0,1.86,1.86,97.51,0,0,0
T1125A 摩根新興35.DAa,2025/10,"27,454",18.4,0,0,0,0,0,0,0,18.4,0,0,0.77,0,0.77,19.17,0,0,6.8,5.5
T1125Y 摩根新興35.Aa,2025/10,"5,070,819",18.4,0,0,0,0,0,0,0,18.4,0,0,0.77,0,0.77,19.17,0,0,6.8,5.5
T1127Y 摩根全球發,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1129Y 摩根新絲路,2025/10,"616,689",10.32,0,0,0,0,0,0,0,10.32,0,0,0.25,0,0.25,10.57,0,0,0.7,8.78
T1130Y 摩根東方內需機會,2025/10,"1,011,216",17.76,0,0,1.04,0,0,0,0,18.8,0,0,1.06,0,1.06,19.86,0,0,0,4.13
T1131Y 摩根金龍收成,2025/10,"598,100",27.8,0,0,5.28,0,0,0,0,33.08,0,0,1.04,0,1.04,34.12,0,0,0,3.9
T1134Y 摩根中國亮點,2025/10,"1,791,273",0.61,0,0,0,0,0,0,0,0.61,0,0,0.25,0,0.25,0.86,0,0,0,4.21
T1135B 摩根台灣金磚I,2025/10,0,78.08,0,0,16.38,0,0,0,0.96,95.42,0,0,3.84,0,3.84,99.26,0,0,0,0
T1135C 摩根台灣金磚DAa,2025/10,"198,646",78.08,0,0,16.38,0,0,0,0.96,95.42,0,0,3.84,0,3.84,99.26,0,0,0,0
T1135Y 摩根台灣金磚A,2025/10,"4,187,633",78.08,0,0,16.38,0,0,0,0.96,95.42,0,0,3.84,0,3.84,99.26,0,0,0,0
T1136Y 摩根新金磚五國,2025/10,"756,181",0,0,0,0,0,0,0,0,0,0,0,0.33,0,0.33,0.33,0,0,25.16,6.87
T1137B 摩根總收組合Bd,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1137C 摩根總收組合Aa$,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1137Y 摩根總收組合Aa,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1139A 摩根新興非投Aa,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1139B 摩根新興非投Bd,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1139C 摩根新興非投Bd$,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1139D 摩根新興非投BdC,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1140A 摩根亞總非債Aa,2025/10,"232,499",0,0,0,0,0,0,0,0,0,0,0,0.95,0,0.95,0.95,0,0,38.35,0
T1140B 摩根亞總非債Bd,2025/10,"775,165",0,0,0,0,0,0,0,0,0,0,0,0.95,0,0.95,0.95,0,0,38.35,0
T1140C 摩根亞總非債Bd$,2025/10,"17,413",0,0,0,0,0,0,0,0,0,0,0,0.95,0,0.95,0.95,0,0,38.35,0
T1140E 摩根亞總非債BdC,2025/10,"22,829",0,0,0,0,0,0,0,0,0,0,0,0.95,0,0.95,0.95,0,0,38.35,0
T1141A 摩根新興龍虎債 A,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1141B 摩根新興龍虎債 B,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1142B 摩根中國 A股Aa$,2025/10,"3,188,697",0,0,0,0,0,0,0,0,0,0,0,2.06,0,2.06,2.06,0,0,0,0
T1142C 摩根中國 A股DAa,2025/10,"208,095",0,0,0,0,0,0,0,0,0,0,0,2.06,0,2.06,2.06,0,0,0,0
T1142Y 摩根中國 A股Aa,2025/10,"8,070,940",0,0,0,0,0,0,0,0,0,0,0,2.06,0,2.06,2.06,0,0,0,0
T1145A 摩根泛亞太入息 A,2025/10,"221,365",15.21,0,0,0.45,0,0,0,0,15.66,0,0,1.63,0,1.63,17.29,0,13.03,0,2.19
T1145B 摩根泛亞太入息 B,2025/10,"351,436",15.21,0,0,0.45,0,0,0,0,15.66,0,0,1.63,0,1.63,17.29,0,13.03,0,2.19
T1145C 摩根泛亞太入息B$,2025/10,"53,766",15.21,0,0,0.45,0,0,0,0,15.66,0,0,1.63,0,1.63,17.29,0,13.03,0,2.19
T1145E 摩根泛亞太入息BC,2025/10,"50,498",15.21,0,0,0.45,0,0,0,0,15.66,0,0,1.63,0,1.63,17.29,0,13.03,0,2.19
T1146A 摩根多元息成長 A,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1146B 摩根多元息成長 B,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1146C 摩根多元息成長B$,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1146D 摩根多元息成長BC,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1146E 摩根多元息成長A$,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T1148A 摩根新興雙利A,2025/10,"113,200",1.32,0,0,0,0,0,0,0,1.32,0,0,1.6,0,1.6,2.92,0,0,16.46,13.91
T1148B 摩根新興雙利B,2025/10,"160,343",1.32,0,0,0,0,0,0,0,1.32,0,0,1.6,0,1.6,2.92,0,0,16.46,13.91
T1148C 摩根新興雙利B$,2025/10,"6,989",1.32,0,0,0,0,0,0,0,1.32,0,0,1.6,0,1.6,2.92,0,0,16.46,13.91
T1148D 摩根新興雙利BC,2025/10,"23,300",1.32,0,0,0,0,0,0,0,1.32,0,0,1.6,0,1.6,2.92,0,0,16.46,13.91
T1150A 摩根中國雙息平A,2025/10,"775,073",0,0,0,0,0,0,0,0,0,0,0,1.03,0,1.03,1.03,0,0,6.64,0.5
T1150B 摩根中國雙息平B,2025/10,"951,219",0,0,0,0,0,0,0,0,0,0,0,1.03,0,1.03,1.03,0,0,6.64,0.5
T1150C 摩根中國雙息平AC,2025/10,"283,707",0,0,0,0,0,0,0,0,0,0,0,1.03,0,1.03,1.03,0,0,6.64,0.5
T1150D 摩根中國雙息平BC,2025/10,"656,832",0,0,0,0,0,0,0,0,0,0,0,1.03,0,1.03,1.03,0,0,6.64,0.5
T1150E 摩根中國雙息平B$,2025/10,"454,400",0,0,0,0,0,0,0,0,0,0,0,1.03,0,1.03,1.03,0,0,6.64,0.5
