Current,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
基金碼,日期,基金淨資產 (千元),A1  投資國內上市股票比例,A2  投資國內台灣存託憑證,A3  投資國內基金比例,A4  投資國內上櫃股票比例,A5  投資國內買斷債券比例,A6  投資國內RP比例,A7  國內資產證券化商品,A8  投資國內其他有價證券,A0  投資國內有價證券比例,B1  國內短期投資-短票,B2  國內短期投資-其他,B3  短期投資-一般存款,B4  短期投資-短期票券-RP,B0  國內短期投資小計,A+B 投資國內合計,C1  投資日本比例,C2  投資紐澳比例,C3  投資國外其他區域比例,C4  投資北美比例
00651R 復華香港反 1,2025/10,"200,137",0,0,0,0,0,0,0,0,0,0,0,38.82,0,38.82,38.82,0,0,0,0
00652 富邦印度,2025/10,"3,534,865",0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,1.07,0,0,0,0
00653L 富邦印度正2,2025/10,"1,097,539",0,0,0.1,0,0,34.19,0,0,34.29,0,0,13.87,0,13.87,48.16,0,0,0,0
00654R 富邦印度反1,2025/10,"118,337",0,0,0.89,0,0,58.09,0,0,58.98,0,0,10.13,0,10.13,69.11,0,0,0,0
00655L 國泰中國A50正2,2025/10,"3,378,437",0,0,4.65,0,0,5.92,0,0,10.57,0,0,2.24,0,2.24,12.81,0,0,0,0
00656R 國泰中國A50反1,2025/10,"123,695",0,0,0,0,0,40.42,0,0,40.42,0,0,19.32,0,19.32,59.74,0,0,0,0
00657 國泰日經225,2025/10,"406,283",0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0.06,91,0,0,0
00657K 國泰日經225+U,2025/10,-,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0.06,91,0,0,0
00658L 國泰日本正2,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00659R 國泰日本反1,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00660 元大歐洲50,2025/10,"331,169",0,0,0,0,0,0,0,0,0,0,0,1.36,0,1.36,1.36,0,0,0,0
00661 元大日經225,2025/10,"1,509,806",0,0,0,0,0,0,0,0,0,0,0,1.25,0,1.25,1.25,91.93,0,0,0
00662 富邦NASDAQ,2025/10,"62,243,913",0,0,0,0,0,0,0,0,0,0,0,0.89,0,0.89,0.89,0,0,0,98.81
00663L 國泰臺灣加權正2,2025/10,"3,572,934",0,0,0,0,0,8.4,0,0,8.4,0,0,40.82,0,40.82,49.22,0,0,0,0
00664R 國泰臺灣加權反1,2025/10,"2,023,510",0,0,0,0,0,50.9,0,0,50.9,0,0,33.74,0,33.74,84.64,0,0,0,0
00665L 富邦恆生國企正2,2025/10,"5,706,619",0,0,17.89,0,0,5.26,0,0,23.15,0,0,16.7,0,16.7,39.85,0,0,0,0
00666R 富邦恆生國企反1,2025/10,"127,886",0,0,0,0,0,54.85,0,0,54.85,0,0,15.03,0,15.03,69.88,0,0,0,0
00667 元大韓國,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00668 國泰美國道瓊,2025/10,"482,895",0,0,0,0,0,0,0,0,0,0,0,1.39,0,1.39,1.39,0,0,0,95.56
00668K 國泰美國道瓊+U,2025/10,-,0,0,0,0,0,0,0,0,0,0,0,1.39,0,1.39,1.39,0,0,0,95.56
00669R 國泰美國道瓊反1,2025/10,"1,277,005",0,0,8.2,0,0,34.46,0,0,42.66,0,0,12.46,0,12.46,55.12,0,0,0,0
00670L 富邦NASDAQ正2,2025/10,"12,922,452",0,0,7.14,0,0,28.41,0,0,35.55,0,0,16.77,0,16.77,52.32,0,0,0,0
00671R 富邦NASDAQ反1,2025/10,"1,815,634",0,0,13.18,0,0,23.34,0,0,36.52,0,0,16.37,0,16.37,52.89,0,0,0,0
00675L 富邦臺灣加權正2,2025/10,"15,950,200",0,0,6.96,0,0,2.56,0,0,9.52,0,0,5.06,0,5.06,14.58,0,0,0,0
00676R 富邦臺灣加權反1,2025/10,"1,164,377",0,0,16.07,0,0,50.71,0,0,66.78,0,0,9.44,0,9.44,76.22,0,0,0,0
00678 群益那斯達克生技,2025/10,"270,150",0,0,0,0,0,0,0,0,0,0,0,6.23,0,6.23,6.23,0,0,0,97.63
00679B 元大美債20年,2025/10,"244,717,226",0,0,0,0,0,0,0,0,0,0,0,1.05,0,1.05,1.05,0,0,0,98.53
00680L 元大美債20正2,2025/10,"24,712,090",0,0,0,0,0,53.42,0,0,53.42,0,0,6.05,0,6.05,59.47,0,0,0,0
00681R 元大美債20反1,2025/10,"153,855",0,0,0,0,0,0,0,0,0,0,0,44.96,0,44.96,44.96,0,0,0,0
00685L 群益臺灣加權正2,2025/10,"2,851,331",0,0,0,0,0,45.75,0,0,45.75,0,0,6.97,0,6.97,52.72,0,0,0,0
00686R 群益臺灣加權反1,2025/10,"237,785",0,0,8.86,0,0,64.98,0,0,73.84,0,0,10.75,0,10.75,84.59,0,0,0,0
00687B 國泰20年美債,2025/10,"203,203,000",0,0,0,0,0,0,0,0,0,0,0,0.38,0,0.38,0.38,0,0,0,98.49
00687C 國泰20年美債+U,2025/10,"654,842",0,0,0,0,0,0,0,0,0,0,0,0.38,0,0.38,0.38,0,0,0,98.49
00688L 國泰20年美債正2,2025/10,"10,765,043",0,0,0,0,0,59.17,0,0,59.17,0,0,11.06,0,11.06,70.23,0,0,0,0
00689R 國泰20年美債反1,2025/10,"144,406",0,0,0,0,0,34.62,0,0,34.62,0,0,26.21,0,26.21,60.83,0,0,0,0
00690 兆豐臺灣藍籌30,2025/10,"3,232,077",98.02,0,0,0,0,0,0,0,98.02,0,0,1.03,0,1.03,99.05,0,0,0,0
00691R 兆豐藍籌30反1,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00692 富邦公司治理,2025/10,"38,532,022",99.77,0,0,0,0,0.05,0,0,99.82,0,0,0.07,0,0.07,99.89,0,0,0,0
00694B 富邦美債1-3,2025/10,"7,024,712",0,0,0,0,0,0,0,0,0,0,0,0.74,0,0.74,0.74,0,0,0,99.04
00695B 富邦美債7-10,2025/10,"1,416,336",0,0,0,0,0,0,0,0,0,0,0,0.51,0,0.51,0.51,0,0,0,97.93
00696B 富邦美債20年,2025/10,"27,616,206",0,0,0,0,0,0,0,0,0,0,0,1.4,0,1.4,1.4,0,0,0,98
00697B 元大美債7-10,2025/10,"2,432,491",0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.08,0.08,0,0,0,98.57
00698L 元大美債 7-10正2,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00699R 元大美債 7-10反1,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00700 富邦恆生國企,2025/10,"1,092,087",0,0,0,0,0,0,0,0,0,0,0,2.05,0,2.05,2.05,0,0,0,0
00701 國泰股利精選30,2025/10,"6,164,707",98.73,0,0,0,0,0,0,0,98.73,0,0,1.06,0,1.06,99.79,0,0,0,0
00702 國泰標普低波高息,2025/10,"139,094",0,0,0,0,0,0,0,0,0,0,0,0.59,0,0.59,0.59,0,0,0,95.05
00703 台新MSCI中國,2025/10,"254,399",0,0,0,0,0,0,0,0,0,0,0,1.01,0,1.01,1.01,0,0,0,3.47
00704L 台新MSCI台灣正2,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00705R 台新MSCI台灣反1,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00709 富邦歐洲,2025/10,"564,060",0,0,0,0,0,0,0,0,0,0,0,0.18,0,0.18,0.18,0,0,0,0
00710B 復華彭博非投等債,2025/10,"3,838,017",0,0,0,0,0,0,0,0,0,0,0,0.39,0,0.39,0.39,0.45,0.88,5.09,85.26
00711B 復華彭博新興債,2025/10,"16,426,314",0,0,0,0,0,0,0,0,0,0,0,0.16,0,0.16,0.16,0,0,45.94,2.29
00712 復華富時不動產,2025/10,"44,243,764",0,0,0,0,0,0,0,0,0,0,0,0.42,0,0.42,0.42,0,0,0,98.45
00713 元大台灣高息低波,2025/10,"142,836,893",98.08,0,0,0,0,0,0,0,98.08,0,0,1.52,0,1.52,99.6,0,0,0,0
00714 群益道瓊美國地產,2025/10,"541,825",0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0,0,0,99.31
00717 富邦美國特別股,2025/10,"2,272,018",0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,1.07,0,0,0,98.37
